ScoutId,MatchKey,Alliance,DriverStation,TeamNumber,Preloaded,AutoGrid,AutoMissed,Mobile,AutoAttemptedCharge,AutoChargingState,AutoNotes,TeleopGrid,TeleopMissed,TeleopNotes,EndgameAttemptedCharge,EndgameFinalCharge,FinalChargeTime,EndgameNotes,Disable,Tippy,DefenseTime,DefenseRating,DriverRating,RatingNotes,scanRaw,AutoCones,AutoCubes,TeleopCones,TeleopCubes,AttemptedTripleBalance,SuccessfulTripleBalance,uuid
Amogh,qm83,blue,3,4069,true,1H|2H,0.0,1.0,None,None,,3H|4H|5H|6H|7H,0.0,,None,,,,0.0,0.0,0.0,0.0,0.0,,Amogh||83|blue|3|4069|true|1H|2H|0|true||None||3H|4H|5H|6H|7H|0||||||false|false|0|0|0|,['High'],['High'],"['High', 'High', 'High', 'High']",['High'],0.0,0.0,f2955740-6834-4a66-9b25-9a9ffc57f457
Nikhil,qm83,blue,1,9062,true,5Lcone,0.0,0.0,None,None,,,0.0,Didn't play much this round tried helping teammate 195 back up and radio lost connection ,None,None,,,1.0,0.0,0.0,0.0,1.0,,Nikhil|qm|83|blue|1|9062|true|5Lcone|0|false||None|||0|Didn't play much this round tried helping teammate 195 back up and radio lost connection ||None|||true|false|0|0|1|,['Low'],[],[],[],0.0,0.0,90deab70-44b9-4672-9858-724b24c4620d
Blen,qm83,red,2,1466,true,5H,0.0,1.0,Engage,Engage,,6M|5M|4M|3M|1Lcone|1M,0.0,,None,Park,,,0.0,0.0,0.0,0.0,0.0,,Blen|qm|83|red|2|1466|true|5H|0|true|Engage|Engage||4M|5M|6M|7M|9Lcone|9M|0|||Park|||false|false|0|0|0|,[],['High'],"['Mid', 'Mid', 'Mid', 'Low', 'Mid']",['Mid'],0.0,0.0,8bfba5b8-89dd-4154-ada7-309859d6e9bb
alexander,qm83,red,3,1836,true,9Lcube|8Lcube,0.0,1.0,None,None,,7Lcube|6Lcube|5Lcube|4Lcube|2Lcube,0.0,,Engage,None,,,0.0,0.0,0.0,0.0,2.0,Disabled 195,alexander|qm|83|red|3|1836|true|1Lcube|2Lcube|0|true||None||3Lcube|4Lcube|5Lcube|6Lcube|8Lcube|0||Engage|None|||false|false|0|0|2|Disabled 195,[],"['Low', 'Low']",[],"['Low', 'Low', 'Low', 'Low', 'Low']",0.0,0.0,2e1f3b8b-9892-4ac6-a0b4-047ffe9739e5
Aran,qm83,red,1,4905,true,2M|2H,0.0,1.0,None,None,,6H|4H|3Lcone|3H|1H,0.0,,Engage,Dock,,,0.0,0.0,0.0,0.0,4.0,,Aran|qm|83|red|1|4905|true|8M|8H|0|true||None||4H|6H|7Lcone|7H|9H|0||Engage|Dock|||false|false|0|0|4|,[],"['Mid', 'High']","['High', 'High', 'Low', 'High', 'High']",[],0.0,0.0,b3c294c4-384d-437a-b298-a2bc5738acdb
Joshua,qm84,blue,2,3538,true,1Lcone|2Lcube|5M,0.0,1.0,None,,,1M|1H|3H|4H|5H|6M|6H|7M|7H,0.0,,Engage,Engage,5,Double engage ,0.0,0.0,0.0,0.0,5.0,Needs space to cycle quickly,Joshua|qm|84|blue|2|3538|true|1Lcone|2Lcube|5M|0|true||||1M|1H|3H|4H|5H|6M|6H|7M|7H|0||Engage|Engage|5|Double engage |false|false|0|0|5|Needs space to cycle quickly,['Low'],"['Low', 'Mid']","['Mid', 'High', 'High', 'High', 'Mid', 'High', 'Mid', 'High']",['High'],0.0,0.0,bb8774bf-2a09-4859-a3bf-a5c1794d0953
Eckart,qm84,blue,1,5274,true,5M,0.0,1.0,Engage,Engage,,6Lcube|7Lcube|7M|8Lcube|8M|9M,0.0,,None,None,,Easily had time to park but for some reason did not even though space available ,0.0,0.0,0.0,0.0,0.0,,Eckart|qm|84|blue|1|5274|true|5M|0|true|Engage|Engage||6Lcube|7Lcube|7M|8Lcube|8M|9M|0|||None||Easily had time to park but for some reason did not even though space available |false|false|0|0|0|,[],['Mid'],"['Mid', 'Mid']","['Low', 'Low', 'Low', 'Mid']",0.0,0.0,12171f9e-e67f-4418-8e7e-50b0669ca79c
paul,qm84,blue,3,8016,true,8H,0.0,1.0,None,,,1M|2Lcone|2H|3M,0.0,,Engage,Engage,3,,0.0,0.0,0.0,0.0,2.0,,paul|qm|84|blue|3|8016|true|8H|0|true||||1M|2Lcone|2H|3M|0||Engage|Engage|3||false|false|0|0|2|,[],['High'],"['Mid', 'Low', 'Mid']",['High'],0.0,0.0,f59bf8c8-49f8-4dd5-9159-78254f105ea7
darren,qm84,red,3,900,true,1Lcone,1.0,1.0,None,,1 cone aimed for high and missed,9Lcube|9H|8Lcube|7Lcone|7H|6Lcone|3Lcube,1.0,1 cone high missed,Engage,Engage,,,0.0,0.0,0.0,0.0,4.0,,darren|qm|84|red|3|900|true|9Lcone|1|true|||1 cone aimed for high and missed|1Lcube|1H|2Lcube|3Lcone|3H|4Lcone|7Lcube|1|1 cone high missed|Engage|Engage|||false|false|0|0|4|,['Low'],[],"['High', 'Low', 'High', 'Low']","['Low', 'Low', 'Low']",1.0,1.0,a2634892-727e-443d-ab84-a4de766e2f4d
Blen,qm84,red,1,3940,true,8H,0.0,1.0,None,,,3H|2H|1Lcone|1H,1.0,cubes and cones fell out of intake arm,Engage,Engage,,their intake  dropped game pieces multiple times ,0.0,0.0,0.0,0.0,0.0,,Blen|qm|84|red|1|3940|true|2H|0|true||||7H|8H|9Lcone|9H|1|cubes and cones fell out of intake arm|Engage|Engage||their intake  dropped game pieces multiple times |false|false|0|0|0|,[],['High'],"['High', 'Low', 'High']",['High'],1.0,1.0,ecb4d5ee-064f-47ec-b816-86e9213c5de7
