,ScoutId,MatchKey,Alliance,DriverStation,TeamNumber,Preloaded,AutoGrid,AutoMissed,Mobile,AutoAttemptedCharge,AutoChargingState,AutoNotes,TeleopGrid,TeleopMissed,TeleopNotes,EndgameAttemptedCharge,EndgameFinalCharge,EndgameChargeTime,EndgameNotes,Disable,Tippy,DefenseTime,DefenseRating,DriverRating,RatingNotes
205,Sayan and Arav,qm37,red,2,1389,true,3H,0.0,1.0,,None, | ,6M|7M,0.5, | ,Engage,Engage,, | ,0.0,0.0,40.0,1.0,3.0, | Pranav scouted for me
206,Sydney ,qm37,red,,6802,true,5H,0.0,1.0,Engage,Engage,,6H|7Lcone,0.0,,Engage,Engage,5,,0.0,0.0,0.0,0.0,0.0,
207,Hannah and Olivia,qm38,blue,2,1262,false,,0.0,1.0,,, | ,1Lcube|5Lcube|7Lcube,0.0, | ,,,, | ,1.0,0.0,0.0,0.0,2.0, | 
208,Nicole and Sri,qm38,blue,3,1908,true,,0.0,0.0,Engage,Engage,I missed auto | ,1Lcone|1H|3H|4Lcube|4H,1.0, | ,Engage,Dock,, | ,0.0,0.5,0.0,0.0,2.0, | 
209,Shashwat and Neel,qm38,blue,,2363,true,1Lcube|8Lcone|9Lcone,0.0,0.0,,None, | ,2H|5H|6H|7H|8H|9H,0.5, | ,Engage,None,, | ,0.0,0.0,0.0,0.0,3.5, | 
210,darren and Chris,qm38,red,3,1111,true,,0.5,1.0,,, | ,2H|4Lcube|7H|8H,0.5, | ,Engage,Engage,, | ,0.0,0.0,10.0,0.5,1.5, | 
211,Sayan and Arav,qm38,red,2,1610,true,,1.0,0.0,,None, | ,2Lcube,0.0, | ,Engage,Engage,, | ,0.0,0.0,50.0,0.5,1.0, | 
212,Sydney  and Jeff,qm38,red,,1727,true,1H|3H,0.0,1.0,Engage,Engage, | ,2Lcube|3Lcube|4H|5Lcube|5H|6H|9H,0.0, | ,Engage,Engage,,Triple engage  | ,0.0,0.0,0.0,0.0,4.5, | 
213,Nicole and Sri,qm39,blue,3,122,true,2H,0.0,1.0,,, | ,2H|3H|5M|6M|6H,0.5, | ,Engage,Engage,13.5, | ,0.0,0.0,0.0,0.0,2.0, | 
214,Olivia and Hannah,qm39,blue,2,384,true,2H,0.0,1.0,,, | pick up cube and hold it ,1M|2M|3M|6M|7M|9H,1.0, | ,,None,, | ,0.0,0.0,0.0,0.0,4.0, | 
215,Shashwat and Neel,qm39,blue,,1599,true,5H,0.0,1.0,Engage,Engage, | ,4H|6M|7H|8Lcube|9H,0.0, | ,Engage,Engage,, | ,0.0,0.0,20.0,1.5,4.0, | 
216,Chris and darren,qm39,red,3,623,true,4M,0.0,0.0,Engage,Engage, | ,1M|2M|3M|5M|6M,0.0, | ,Engage,Engage,, | ,0.0,0.0,0.0,0.0,2.0, | 
217,Sydney  and Jeff,qm39,red,,6863,false,8H,0.0,1.0,,None, | ,3Lcone|9H,0.0, | ,Engage,Engage,, | ,0.0,0.0,0.0,0.0,1.5,Really bad intake  | Funky driving and went all over the place 
218,Sayan and Arav,qm39,red,2,8726,true,2H,0.0,1.0,,, | ,3H|6M|7H,0.0,Gripper was angled too high and kept missing cones when grabbing from sub | ,,None,, | ,0.0,0.0,0.0,0.0,3.0, | 
219,rachel and blen,qm4,blue,,836,true,8H|9M,0.0,1.0,,, | ,1Lcone|4M|6M|7M|7H|8M|9H,1.0, | ,,Park,, | not enough room for robot to balance ,0.0,0.0,0.0,0.0,4.5, | 
220,,qm4,blue,,2537,true,2M,0.0,1.0,,,,1Lcube|3Lcube|5M|5H,0.0,,Engage,Engage,2.4,Fast engage,0.0,0.0,0.0,0.0,3.0,
221,Saragha and sarah,qm4,blue,2,4472,false,6H,0.0,0.0,Engage,Engage, | ,1H|2Lcube|3H|4Lcube|4H|5Lcube,0.0, | ,Engage,Engage,, | ,0.0,0.0,0.0,0.0,2.0, | 
222,and amogh,qm4,red,,2106,true,4H,0.0,1.0,Engage,Engage, | ,5H|6H|7H|8H,1.5, | ,,None,, | ,0.0,0.0,0.0,0.0,2.0, | M
