,ScoutId,MatchKey,Alliance,DriverStation,TeamNumber,Preloaded,AutoGrid,AutoMissed,Mobile,AutoAttemptedCharge,AutoChargingState,AutoNotes,TeleopGrid,TeleopMissed,TeleopNotes,EndgameAttemptedCharge,EndgameFinalCharge,FinalChargeTime,EndgameNotes,Disable,Tippy,DefenseTime,DefenseRating,DriverRating,RatingNotes
375,alexander,qm79,red,3,503,true,2H|1Lcube,0.0,1.0,None,None,,9Lcube|9M|8M|8H|7M|7H|6Lcube,0.0,,Engage,Engage,,Triple Engage,0.0,0.0,0.0,0.0,4.0,
376,Blen,qm79,red,2,3478,true,4H,0.0,1.0,Engage,Engage,,6M|6H|5Lcone|5M|5H,1.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,4.0,
377,Nikhil ,qm8,blue,1,2960,true,5H,0.0,0.0,Engage,Engage,,1Lcone|1H|4H|6H|7H|9M|9M,1.0,,Engage,Engage,3,,0.0,0.0,0.0,0.0,4.0,
378,Shashwat ,qm8,blue,2,6431,true,,0.0,0.0,None,None,Crossed centerline,,0.0,Intake broken,None,Park,,,0.0,0.0,0.0,0.0,2.0,
379,sarah,qm8,blue,3,8016,true,2H,0.0,0.0,None,None,,1M|2Lcube|2M|3M,0.0,,Engage,,9,,0.0,0.0,0.0,0.0,2.0,
380,Sydney,qm8,red,1,3218,true,4Lcube|1H,0.0,1.0,None,None,,5M|5H|4M|4H|3H|2H,0.0,,Engage,Engage,5,,0.0,0.0,0.0,0.0,4.0,
381,Blen,qm8,red,2,4419,true,9H|6Lcube,0.0,1.0,None,,,|8Lcube|8H|7H|6H|3Lcube|1Lcube,0.0,,Engage,Engage,4,,0.0,0.0,0.0,0.0,0.0,deflated a cube 
382,alexander,qm8,red,3,7072,true,,1.0,1.0,Engage,Dock,,9Lcube|6Lcube|5Lcube,0.0,,Engage,Engage,,Triple Engage,0.0,0.0,20.0,3.0,2.0,
383,Nikhil,qm80,blue,1,179,true,,1.0,1.0,None,None,,1M|4M|6M|7H|8Lcone|9M|9H,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,5.0,
384,Arav and Amogh,qm80,blue,2,4099,true,1H,0.5,0.0,None,None, | ,2M|2H|3H|5Lcube|5M|7Lcube|8Lcube|8M|8H,0.0, | ,Engage,Engage,, | ,0.0,0.0,0.0,0.0,2.5, | 
385,Aran,qm80,red,1,177,true,2Lcone,2.0,1.0,None,None,,6Lcube|6M|4M|4H|2H|1H,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,0.0,
386,Blen,qm80,red,2,1816,true,6H,0.0,1.0,Engage,,,7M|7H|6M|5H|4H,0.0,takes a while to align cone ,Engage,Park,,,0.0,0.0,0.0,0.0,0.0,
387,alexander,qm80,red,3,8717,true,8H,0.0,1.0,None,None,,9Lcube|8Lcube,1.0,,Engage,None,,,0.0,1.0,0.0,0.0,2.0,
388,Arav,qm81,blue,2,3184,true,1H,1.0,1.0,None,None,,1M|2M|2H|3M|3H|4H,0.0,,Engage,Park,,,0.0,1.0,0.0,0.0,4.0,
389,Amogh,qm81,blue,3,6431,true,2Lcube,0.0,1.0,None,None,,,0.0,,None,None,,,0.0,0.0,60.0,2.0,2.0,
390,Nikhil ,qm81,blue,1,8592,true,6H,0.0,0.0,Engage,Engage,,5Lcube|5H|7M|7H|8H|9M|9M,0.0,,Engage,None,,,0.0,0.0,0.0,0.0,3.0,
391,Aran,qm81,red,1,4909,true,1Lcube|1H,0.0,1.0,None,None,,5H|4M|4H|3M|3H|2M|2H|1M,0.0,,None,Park,,,0.0,0.0,0.0,0.0,0.0,
392,alexander,qm81,red,3,6817,true,8H,0.0,1.0,None,None,Slow,,0.0,,Engage,Engage,,Double Engage,0.0,1.0,100.0,1.0,1.0,
393,Blen,qm81,red,2,9140,true,5H,0.0,1.0,Engage,Engage,,9M|8M|7M|6M,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,0.0,
394,Nikhil,qm82,blue,1,5135,true,2H,0.0,0.0,Engage,Engage,,7Lcone|9Lcone,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,2.0,
395,Arav,qm82,blue,2,8015,true,,1.0,1.0,None,None,,1Lcube|3Lcone|5Lcone|6Lcone,0.0,,Engage,Engage,7,,0.0,1.0,0.0,0.0,0.0,
396,Amogh,qm82,blue,3,9030,false,8H,0.0,1.0,None,,,2Lcube|5Lcube|6Lcube,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,0.0,
397,Blen,qm82,red,2,5172,true,5Lcube,0.0,0.0,None,,,6M|6H|4M|3M,1.0,struggles with realigning cones to place on high nodes ,None,Park,,,0.0,0.0,0.0,0.0,0.0,
398,alexander,qm82,red,3,9023,false,,0.0,0.0,None,None,,,0.0,,None,,,,0.0,0.0,0.0,0.0,0.0,Robot was not on the field
399,Aran,qm82,red,1,9126,true,1H,0.0,1.0,None,None,,5Lcube|5M|2M|1Lcube,1.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,0.0,
400,Arav,qm83,blue,2,195,true,5H|9H,0.0,1.0,Engage,None,,,0.0,Tipped,None,None,,,0.0,1.0,0.0,0.0,2.0,
401,Amogh,qm83,blue,3,4069,true,1H|2H,0.0,1.0,None,None,,3H|4H|5H|6H|7H,0.0,,None,,,,0.0,0.0,0.0,0.0,0.0,
402,Nikhil,qm83,blue,1,9062,true,5Lcone,0.0,0.0,None,None,,,0.0,Didn't play much this round tried helping teammate 195 back up and radio lost connection ,None,None,,,1.0,0.0,0.0,0.0,1.0,
403,Blen,qm83,red,2,1466,true,5H,0.0,1.0,Engage,Engage,,6M|5M|4M|3M|1Lcone|1M,0.0,,None,Park,,,0.0,0.0,0.0,0.0,0.0,
404,alexander,qm83,red,3,1836,true,9Lcube|8Lcube,0.0,1.0,None,None,,7Lcube|6Lcube|5Lcube|4Lcube|2Lcube,0.0,,Engage,None,,,0.0,0.0,0.0,0.0,2.0,Disabled 195
